iter	Passed	Remaining
168	2564	12610
169	2577	12584
170	2590	12560
171	2612	12576
172	2626	12556
173	2639	12527
174	2651	12497
175	2663	12468
176	2675	12439
177	2686	12407
178	2699	12379
179	2712	12358
180	2725	12333
181	2736	12300
182	2750	12279
183	2778	12323
184	2844	12531
185	2868	12555
186	2880	12524
187	2893	12499
188	2906	12469
189	2929	12488
190	2943	12469
191	2962	12467
192	2987	12490
193	3003	12477
194	3017	12456
195	3034	12446
196	3049	12432
197	3065	12415
198	3080	12400
199	3096	12385
200	3112	12372
201	3126	12353
202	3141	12333
203	3152	12301
204	3166	12279
205	3179	12255
206	3194	12236
207	3207	12213
208	3222	12195
209	3233	12165
210	3247	12142
211	3263	12129
212	3277	12108
213	3292	12094
214	3308	12078
215	3322	12059
216	3334	12032
217	3347	12007
218	3361	11986
219	3375	11968
220	3389	11946
221	3399	11914
222	3414	11896
223	3428	11877
224	3441	11853
225	3457	11842
226	3472	11823
227	3487	11809
228	3498	11779
229	3513	11761
230	3527	11744
231	3541	11723
232	3555	11704
233	3569	11684
234	3580	11655
235	3594	11636
236	3607	11613
237	3621	11594
238	3633	11569
239	3646	11547
240	3662	11534
241	3676	11514
242	3689	11493
243	3705	11481
244	3723	11473
245	3739	11463
246	3756	11452
247	3775	11449
248	3792	11438
249	3807	11422
250	3822	11407
251	3838	11392
252	3857	11389
253	3877	11388
254	3894	11377
255	3909	11363
256	3925	11347
257	3940	11331
258	3958	11325
259	3975	11313
260	3991	11301
261	4008	11291
262	4021	11270
263	4035	11251
264	4050	11233
265	4062	11209
266	4074	11185
267	4087	11164
268	4101	11145
269	4115	11126
270	4128	11105
271	4140	11081
272	4154	11064
273	4169	11047
274	4183	11027
275	4195	11004
276	4209	10987
277	4222	10966
278	4234	10943
279	4248	10924
280	4260	10901
281	4271	10876
282	4284	10854
283	4296	10830
284	4305	10802
285	4317	10779
286	4328	10754
287	4338	10726
288	4349	10699
289	4359	10674
290	4370	10648
291	4382	10626
292	4393	10601
293	4402	10572
294	4413	10547
295	4425	10525
296	4436	10500
297	4446	10475
298	4457	10451
299	4467	10424
300	4477	10398
301	4487	10372
302	4497	10346
303	4508	10320
304	4517	10293
305	4528	10270
306	4538	10244
307	4547	10217
308	4559	10195
309	4568	10169
310	4578	10143
311	4588	10117
312	4600	10097
313	4623	10101
314	4635	10079
315	4646	10058
316	4658	10037
317	4667	10010
318	4678	9987
319	4688	9963
320	4700	9942
321	4715	9928
322	4730	9914
323	4746	9902
324	4758	9884
325	4768	9858
326	4778	9834
327	4790	9814
328	4799	9788
329	4810	9767
330	4824	9751
331	4835	9728
332	4846	9708
333	4858	9688
334	4868	9664
335	4879	9642
336	4891	9623
337	4901	9599
338	4912	9579
339	4924	9559
340	4935	9537
341	4946	9517
342	4960	9501
343	4974	9485
344	4986	9467
345	4997	9445
346	5008	9425
347	5020	9406
348	5031	9384
349	5042	9364
350	5054	9345
351	5065	9324
352	5076	9303
353	5087	9283
354	5098	9262
355	5108	9241
356	5120	9222
357	5132	9203
358	5141	9181
359	5153	9161
360	5164	9141
361	5175	9121
362	5186	9100
363	5196	9079
364	5206	9058
365	5227	9054
366	5240	9039
367	5252	9020
368	5261	8998
369	5271	8976
370	5281	8955
371	5292	8934
372	5303	8914
373	5314	8894
374	5324	8874
375	5336	8857
376	5349	8840
377	5360	8820
378	5370	8800
379	5382	8781
380	5391	8759
381	5401	8738
382	5411	8717
383	5420	8695
384	5430	8674
385	5440	8653
386	5450	8632
387	5460	8612
388	5470	8592
389	5480	8571
390	5489	8550
391	5499	8529
392	5509	8509
393	5518	8488
394	5528	8467
395	5537	8446
396	5554	8435
397	5567	8420
398	5581	8407
399	5595	8392
400	5605	8374
401	5617	8356
402	5628	8337
403	5638	8317
404	5648	8298
405	5659	8280
406	5670	8261
407	5681	8244
408	5693	8227
409	5704	8208
410	5715	8190
411	5726	8173
412	5737	8154
413	5748	8136
414	5759	8119
415	5770	8100
416	5781	8083
417	5792	8065
418	5803	8047
419	5815	8030
420	5826	8012
421	5837	7995
422	5848	7977
423	5858	7958
424	5867	7938
425	5877	7919
426	5887	7900
427	5898	7882
428	5908	7864
429	5918	7845
430	5927	7825
431	5937	7807
432	5946	7787
433	5956	7768
434	5965	7748
435	5975	7730
436	5985	7711
437	5994	7691
438	6005	7673
439	6014	7654
440	6024	7636
441	6034	7618
442	6044	7599
443	6055	7582
444	6065	7565
445	6077	7548
446	6089	7533
447	6100	7516
448	6110	7499
449	6121	7481
450	6133	7465
451	6143	7447
452	6155	7433
453	6167	7417
454	6179	7401
455	6190	7385
456	6202	7369
457	6212	7351
458	6224	7335
459	6235	7320
460	6246	7303
461	6257	7286
462	6268	7270
463	6278	7253
464	6289	7236
465	6300	7220
466	6311	7203
467	6323	7188
468	6335	7172
469	6346	7157
470	6357	7140
471	6369	7125
472	6381	7110
473	6393	7094
474	6405	7079
475	6417	7064
476	6427	7047
477	6438	7030
478	6448	7014
479	6458	6996
480	6468	6979
481	6477	6961
482	6488	6944
483	6499	6929
484	6508	6911
485	6519	6895
486	6530	6879
487	6539	6861
488	6549	6844
489	6561	6829
490	6570	6811
491	6580	6794
492	6590	6777
493	6599	6760
494	6609	6742
495	6620	6727
496	6631	6711
497	6640	6694
498	6651	6677
499	6661	6661
500	6671	6644
501	6681	6628
502	6691	6612
503	6703	6596
504	6715	6582
505	6728	6569
506	6740	6554
507	6752	6539
508	6763	6524
509	6775	6510
510	6786	6494
511	6797	6479
512	6809	6464
513	6820	6448
514	6831	6433
515	6845	6420
516	6855	6405
517	6867	6389
518	6878	6375
519	6890	6360
520	6901	6344
521	6912	6329
522	6924	6315
523	6934	6299
524	6946	6284
525	6957	6269
526	6967	6253
527	6978	6238
528	6992	6225
529	7003	6210
530	7014	6195
531	7025	6180
532	7035	6164
533	7046	6149
534	7058	6134
535	7068	6119
536	7079	6104
537	7090	6089
538	7101	6073
539	7111	6058
540	7122	6042
541	7132	6027
542	7143	6012
543	7154	5996
544	7163	5980
545	7174	5965
546	7184	5950
547	7194	5934
548	7206	5920
549	7216	5904
550	7225	5888
551	7235	5872
552	7244	5856
553	7255	5841
554	7265	5825
555	7275	5809
556	7284	5793
557	7294	5778
558	7305	5762
559	7315	5748
560	7325	5732
561	7335	5716
562	7344	5700
563	7354	5685
564	7364	5669
565	7374	5654
566	7383	5638
567	7393	5623
568	7404	5608
569	7413	5592
570	7423	5577
571	7434	5562
572	7443	5546
573	7453	5531
574	7463	5516
575	7473	5501
576	7484	5487
577	7494	5471
578	7505	5457
579	7517	5443
580	7527	5428
581	7538	5414
582	7549	5399
583	7559	5384
584	7569	5369
585	7579	5354
586	7589	5339
587	7599	5325
588	7609	5309
589	7619	5294
590	7629	5279
591	7640	5265
592	7650	5250
593	7659	5235
594	7670	5221
595	7680	5206
596	7690	5191
597	7701	5177
598	7711	5162
599	7721	5147
600	7731	5133
601	7741	5118
602	7753	5104
603	7765	5091
604	7777	5077
605	7788	5063
606	7799	5050
607	7809	5035
608	7820	5020
609	7830	5006
610	7841	4992
611	7852	4978
612	7862	4963
613	7871	4948
614	7881	4934
615	7891	4919
616	7901	4905
617	7913	4891
618	7922	4876
619	7932	4861
620	7941	4846
621	7951	4832
622	7961	4817
623	7971	4803
624	7980	4788
625	7990	4773
626	7999	4759
627	8009	4744
628	8019	4729
629	8028	4715
630	8038	4700
631	8047	4686
632	8057	4671
633	8066	4656
634	8077	4642
635	8087	4628
636	8099	4615
637	8109	4601
638	8118	4586
639	8128	4572
640	8137	4557
641	8148	4543
642	8158	4529
643	8168	4515
644	8182	4503
645	8194	4490
646	8204	4476
647	8215	4462
648	8227	4449
649	8237	4435
650	8247	4421
651	8259	4408
652	8270	4394
653	8281	4381
654	8293	4368
655	8305	4355
656	8315	4341
657	8326	4327
658	8338	4314
659	8348	4300
660	8359	4287
661	8369	4273
662	8380	4259
663	8391	4246
664	8401	4232
665	8411	4218
666	8421	4204
667	8431	4190
668	8441	4176
669	8450	4162
670	8460	4148
671	8470	4134
672	8479	4120
673	8489	4106
674	8498	4092
675	8509	4078
676	8519	4064
677	8528	4050
678	8538	4036
679	8548	4022
680	8558	4008
681	8568	3995
682	8578	3981
683	8587	3967
684	8597	3953
685	8606	3939
686	8617	3926
687	8627	3912
688	8637	3898
689	8646	3884
690	8656	3871
691	8666	3857
692	8676	3843
693	8686	3830
694	8696	3816
695	8707	3803
696	8720	3791
697	8730	3777
698	8741	3764
699	8752	3751
700	8763	3737
701	8775	3725
702	8786	3711
703	8797	3698
704	8807	3685
705	8819	3672
706	8830	3659
707	8842	3646
708	8853	3633
709	8863	3620
710	8874	3607
711	8885	3594
712	8896	3580
713	8906	3567
714	8916	3554
715	8926	3540
716	8936	3527
717	8946	3513
718	8956	3500
719	8966	3486
720	8975	3473
721	8985	3459
722	8994	3446
723	9003	3432
724	9013	3419
725	9023	3405
726	9033	3392
727	9044	3379
728	9053	3365
729	9063	3352
730	9072	3338
731	9081	3325
732	9091	3311
733	9101	3298
734	9111	3284
735	9120	3271
736	9130	3258
737	9140	3244
738	9151	3232
739	9161	3218
740	9169	3205
741	9181	3192
742	9191	3179
743	9200	3165
744	9211	3152
745	9220	3139
746	9229	3126
747	9238	3112
748	9249	3099
749	9261	3087
750	9270	3073
751	9280	3060
752	9289	3047
753	9298	3033
754	9309	3020
755	9318	3007
756	9327	2994
757	9337	2981
758	9346	2967
759	9356	2954
760	9366	2941
761	9377	2929
762	9387	2915
763	9397	2902
764	9407	2889
765	9416	2876
766	9427	2863
767	9436	2850
768	9446	2837
769	9456	2824
770	9466	2811
771	9477	2798
772	9486	2785
773	9495	2772
774	9506	2759
775	9516	2746
776	9527	2734
777	9538	2721
778	9549	2709
779	9560	2696
780	9571	2683
781	9582	2671
782	9592	2658
783	9603	2645
784	9614	2633
785	9625	2620
786	9636	2607
787	9646	2595
788	9657	2582
789	9668	2570
790	9679	2557
791	9690	2544
792	9700	2532
793	9710	2519
794	9720	2506
795	9729	2493
796	9739	2480
797	9749	2467
798	9759	2455
799	9771	2442
800	9782	2430
801	9792	2417
802	9803	2405
803	9813	2392
804	9823	2379
805	9835	2367
806	9846	2354
807	9857	2342
808	9868	2329
809	9879	2317
810	9890	2304
811	9900	2292
812	9911	2279
813	9922	2267
814	9931	2254
815	9941	2241
816	9952	2229
817	9962	2216
818	9973	2204
819	9984	2191
820	9993	2178
821	10005	2166
822	10018	2154
823	10028	2141
824	10039	2129
825	10051	2117
826	10062	2104
827	10073	2092
828	10085	2080
829	10095	2067
830	10105	2055
831	10116	2042
832	10126	2030
833	10137	2017
834	10147	2005
835	10157	1992
836	10168	1980
837	10178	1967
838	10187	1955
839	10199	1942
840	10209	1930
841	10220	1917
842	10232	1905
843	10243	1893
844	10254	1880
845	10265	1868
846	10276	1856
847	10288	1844
848	10300	1831
849	10311	1819
850	10321	1807
851	10332	1794
852	10344	1782
853	10354	1770
854	10366	1758
855	10377	1745
856	10387	1733
857	10399	1721
858	10410	1708
859	10421	1696
860	10432	1684
861	10443	1671
862	10454	1659
863	10465	1647
864	10477	1635
865	10488	1622
866	10500	1610
867	10513	1598
868	10523	1586
869	10533	1574
870	10544	1561
871	10554	1549
872	10565	1536
873	10575	1524
874	10584	1512
875	10594	1499
876	10604	1487
877	10614	1474
878	10624	1462
879	10633	1450
880	10643	1437
881	10652	1425
882	10662	1412
883	10673	1400
884	10683	1388
885	10694	1376
886	10704	1363
887	10713	1351
888	10723	1338
889	10733	1326
890	10742	1314
891	10753	1301
892	10763	1289
893	10774	1277
894	10785	1265
895	10795	1253
896	10807	1240
897	10817	1228
898	10828	1216
899	10839	1204
900	10849	1192
901	10862	1180
902	10873	1168
903	10883	1155
904	10894	1143
905	10904	1131
906	10913	1119
907	10924	1106
908	10933	1094
909	10943	1082
910	10953	1070
911	10963	1057
912	10973	1045
913	10982	1033
914	10992	1021
915	11003	1009
916	11012	996
917	11022	984
918	11031	972
919	11041	960
920	11051	947
921	11060	935
922	11071	923
923	11079	911
924	11089	899
925	11099	886
926	11108	874
927	11118	862
928	11128	850
929	11143	838
930	11155	826
931	11167	814
932	11177	802
933	11189	790
934	11198	778
935	11209	766
936	11222	754
937	11241	743
938	11262	731
939	11281	720
940	11303	708
941	11320	697
942	11336	685
943	11350	673
944	11364	661
945	11376	649
946	11394	637
947	11408	625
948	11421	613
949	11435	601
950	11447	589
951	11462	577
952	11474	565
953	11491	554
954	11505	542
955	11525	530
956	11543	518
957	11560	506
958	11574	494
959	11593	483
960	11612	471
961	11629	459
962	11645	447
963	11660	435
964	11672	423
965	11685	411
966	11699	399
967	11714	387
968	11728	375
969	11743	363
970	11755	351
971	11769	339
972	11781	326
973	11794	314
974	11806	302
975	11819	290
976	11830	278
977	11839	266
978	11849	254
979	11860	242
980	11871	229
981	11883	217
982	11895	205
983	11907	193
984	11919	181
985	11931	169
986	11948	157
987	11962	145
988	11974	133
989	11987	121
990	11998	108
991	12010	96
992	12023	84
993	12036	72
994	12047	60
995	12061	48
996	12073	36
997	12087	24
998	12099	12
999	12111	0
