iter	Logloss
0	0.6376651334
1	0.5953318502
2	0.5621858085
3	0.5359737446
4	0.5157151313
5	0.5004415817
6	0.4880634401
7	0.4783090093
8	0.4700620628
9	0.4634460529
10	0.4581853253
11	0.4535507968
12	0.4496096496
13	0.4464823646
14	0.4438501853
15	0.4415863915
16	0.4394778626
17	0.4379174324
18	0.4363993847
19	0.4350763888
20	0.4339656553
21	0.4331323841
22	0.4321422535
23	0.4312889358
24	0.4304358307
25	0.42977713
26	0.4292406534
27	0.4287492148
28	0.42821444
29	0.4277105969
30	0.4272957257
31	0.4268754674
32	0.4264285965
33	0.4260688827
34	0.4258711556
35	0.4254754359
36	0.4252200822
37	0.4249485093
38	0.42474172
39	0.4244150363
40	0.4241683456
41	0.4239417657
42	0.4237045405
43	0.4235211355
44	0.42322039
45	0.4229549375
46	0.4227039467
47	0.4225665855
48	0.4225067758
49	0.4222983626
50	0.4221532759
51	0.4220423426
52	0.421904088
53	0.4217646648
54	0.4216404929
55	0.4215231237
56	0.4213969291
57	0.4211514705
58	0.4210411783
59	0.4208901489
60	0.4207669172
61	0.4206973
62	0.4206136138
63	0.4205446365
64	0.4204299223
65	0.420261305
66	0.4201621522
67	0.4200912919
68	0.4199815747
69	0.4199200876
70	0.4198168029
71	0.4197033956
72	0.419609935
73	0.4195286537
74	0.4194411578
75	0.4193931913
76	0.4192836424
77	0.4191901601
78	0.4190351938
79	0.4189472115
80	0.4188231036
81	0.4187369974
82	0.4186019522
83	0.4185505493
84	0.4184750376
85	0.4184087753
86	0.4183536154
87	0.4183240406
88	0.4182642819
89	0.4182045503
90	0.4180818806
91	0.4180177305
92	0.4179782099
93	0.4179284774
94	0.4178379193
95	0.4177789474
96	0.4177305071
97	0.4176724529
98	0.4176254672
99	0.4175830137
100	0.4175168602
101	0.4174526434
102	0.4174021826
103	0.4173739089
104	0.4173202352
105	0.4172558643
106	0.4172042084
107	0.4171579087
108	0.4171106951
109	0.4170676128
110	0.4170226144
111	0.416953142
112	0.4169107795
113	0.41685738
114	0.4168066364
115	0.4167618738
116	0.4167028562
117	0.4166479649
118	0.4166099508
119	0.4165547241
120	0.4165076344
121	0.4164378888
122	0.416398637
123	0.4163386557
124	0.416287725
125	0.416211309
126	0.4161658482
127	0.4161190533
128	0.4160760078
129	0.4160192552
130	0.4159765089
131	0.4159343107
132	0.4158955238
133	0.4158422293
134	0.4158020323
135	0.4157667452
136	0.4157255211
137	0.4156646609
138	0.4156396849
139	0.4155949015
140	0.4155337909
141	0.4154599602
142	0.4154118762
143	0.4153547494
144	0.4153056074
145	0.4152577555
146	0.4151945814
147	0.4151201482
148	0.4150530771
149	0.4149943901
150	0.4149528192
151	0.4148860953
152	0.414861544
153	0.4147991219
154	0.4147765089
155	0.4147374202
156	0.4146999118
157	0.4146728368
158	0.4146402093
159	0.4145989378
160	0.4145489258
161	0.4145087237
162	0.4144704706
163	0.4144321472
164	0.4143736871
165	0.4143135388
166	0.4142514369
167	0.414223706
168	0.4141545763
169	0.4141260536
170	0.4140827195
171	0.4140154885
172	0.413961659
173	0.4139087556
174	0.4138566414
175	0.4137891459
176	0.4137350629
177	0.4136827938
178	0.4136291121
179	0.4135888583
180	0.4135100397
181	0.4134462079
182	0.4133921118
183	0.4133428175
184	0.4133030268
185	0.4132723339
186	0.4132394665
187	0.4131929702
188	0.4131491752
189	0.413110423
190	0.4130606083
191	0.4130094204
192	0.4129678992
193	0.4129329663
194	0.4128809473
195	0.412843318
196	0.4128094458
197	0.4127661804
198	0.4127238427
199	0.4126774618
200	0.4126304162
201	0.4125901895
202	0.4125321182
203	0.4124911054
204	0.412438321
205	0.4124054377
206	0.4123500815
207	0.4122996605
208	0.4122484095
209	0.412213154
210	0.4121684062
211	0.4121209017
212	0.4120687028
213	0.4120070167
214	0.411947256
215	0.411893258
216	0.4118375462
217	0.4117747186
218	0.4117368629
219	0.4116929913
220	0.4116622045
221	0.4116224997
222	0.411581764
223	0.4115327301
224	0.4114961809
225	0.4114291159
226	0.4113860622
227	0.4113366319
228	0.4112913282
229	0.4112433398
230	0.4112052285
231	0.4111736279
232	0.4111363979
233	0.4110706276
234	0.4110318465
235	0.4109925969
236	0.4109492882
237	0.4109069473
238	0.4108501629
239	0.4107968051
240	0.4107647681
241	0.4107245394
242	0.4106691317
243	0.4106211889
244	0.4105623411
245	0.4105209068
246	0.4104573059
247	0.4104210111
248	0.4103696586
249	0.4103284368
250	0.4102806772
251	0.4102461784
252	0.4101926062
253	0.410154934
254	0.4101255342
255	0.41007873
256	0.4100123108
257	0.4099502312
258	0.4098922328
259	0.4098367667
260	0.4097989965
261	0.4097588991
262	0.4097100613
263	0.409655388
264	0.409629174
265	0.4095765539
266	0.409524757
267	0.4094780857
268	0.4094434531
269	0.4093937965
270	0.4093602416
271	0.4093220736
272	0.4092577634
273	0.4092104718
274	0.4091624545
275	0.4091290197
276	0.4090719199
277	0.4090293413
278	0.4089871023
279	0.4089285896
280	0.4088734766
281	0.4088281464
282	0.408794298
283	0.4087423503
284	0.4086921613
285	0.408646385
286	0.4086002736
287	0.4085438506
288	0.4085032364
289	0.408479127
290	0.4084325688
291	0.408386278
292	0.4083500974
293	0.4083091689
294	0.408263841
295	0.4082304839
296	0.4081778315
297	0.4081424098
298	0.4080976724
299	0.4080565454
300	0.4080115188
301	0.4079766972
302	0.4079363876
303	0.4078919814
304	0.4078585469
305	0.407818091
306	0.4077814975
307	0.4077501707
308	0.4077150924
309	0.4076692646
310	0.4076310687
311	0.4075883469
312	0.4075596682
313	0.4075075303
314	0.4074695603
315	0.40742226
316	0.4073840878
317	0.4073447074
318	0.4073139989
319	0.4072821723
320	0.4072425875
321	0.4071930639
322	0.4071649526
323	0.4071266942
324	0.4070810869
325	0.4070361967
326	0.4070092883
327	0.4069841945
328	0.4069524582
329	0.4069029306
330	0.4068606354
331	0.4068081119
332	0.406752856
333	0.4067066565
334	0.4066566781
335	0.4066171802
336	0.4065717376
337	0.406536953
338	0.4065047126
339	0.4064585262
340	0.4064141717
341	0.4063725834
342	0.4063252412
343	0.4062822262
344	0.4062425765
345	0.4062047165
346	0.4061631268
347	0.4061243711
348	0.4060796721
349	0.4060262888
350	0.4059745983
351	0.4059486925
352	0.4059194095
353	0.4058832054
354	0.4058431226
355	0.4058028285
356	0.405757061
357	0.4057018294
358	0.4056512775
359	0.4056131753
360	0.4055753424
361	0.4055461151
362	0.405510311
363	0.405475355
364	0.4054410608
365	0.4053917429
366	0.4053521082
367	0.40531532
368	0.4052711522
369	0.405219013
370	0.4051825639
371	0.4051349973
372	0.4050902244
373	0.4050673087
374	0.4050271286
375	0.4049932151
376	0.4049526872
377	0.40491344
378	0.4048792425
379	0.40483746
380	0.404796616
381	0.4047614358
382	0.4047174312
383	0.4046770504
384	0.4046465698
385	0.4046086463
386	0.4045603037
387	0.4045185386
388	0.4044853452
389	0.404441699
390	0.4043989372
391	0.4043728243
392	0.4043448923
393	0.4043080263
394	0.4042446449
395	0.4042061636
396	0.4041696213
397	0.4041261804
398	0.4040884439
399	0.4040568241
400	0.4040062737
401	0.4039529812
402	0.403904977
403	0.4038722913
404	0.4038363526
405	0.4037806688
406	0.4037406876
407	0.4037021156
408	0.4036544565
409	0.4036142764
410	0.4035810428
411	0.4035322721
412	0.4034842473
413	0.4034493012
414	0.4034204064
415	0.4033901841
416	0.4033587233
417	0.4033197576
418	0.403280643
419	0.4032312199
420	0.4031946393
421	0.4031475231
422	0.4031239893
423	0.4030854344
424	0.4030429399
425	0.4030154658
426	0.4029745256
427	0.4029374194
428	0.402898812
429	0.4028619216
430	0.4028411476
431	0.4027968173
432	0.4027650464
433	0.4027321887
434	0.4026979838
435	0.4026616753
436	0.4026318262
437	0.4026056013
438	0.4025675119
439	0.4025283968
440	0.402493401
441	0.4024567233
442	0.4024048873
443	0.40236548
444	0.4023266089
445	0.402285267
446	0.4022563574
447	0.4022225052
448	0.4021975163
449	0.4021552766
450	0.4021338432
451	0.4021059255
452	0.4020667782
453	0.4020276688
454	0.4019845533
455	0.4019621249
456	0.4019262204
457	0.4019044737
458	0.401869199
459	0.4018315635
460	0.4017775381
461	0.4017402422
462	0.4017088031
463	0.4016742833
464	0.4016455678
465	0.4016225475
466	0.4015676496
467	0.4015405247
468	0.4015170532
469	0.4014773345
470	0.4014428331
471	0.4014192507
472	0.4013877278
473	0.4013612953
474	0.4013228248
475	0.4012848247
476	0.4012553822
477	0.4012070718
478	0.4011804479
479	0.401143826
480	0.4011142287
481	0.401078929
482	0.4010455065
483	0.40099662
484	0.4009529847
485	0.4009289624
486	0.4009003593
487	0.4008710069
488	0.400836436
489	0.400802587
490	0.4007711268
491	0.4007407549
492	0.4007078547
493	0.4006880409
494	0.4006454308
495	0.4006059277
496	0.400583202
497	0.4005539243
498	0.4005249301
499	0.4004875672
500	0.4004569948
501	0.4004214513
502	0.4003897719
503	0.4003571199
504	0.4003301516
505	0.4002876743
506	0.4002606983
507	0.4002398118
508	0.4001882998
509	0.4001440894
510	0.4001080856
511	0.4000841743
512	0.4000491088
513	0.4000172721
514	0.3999859923
515	0.3999552933
516	0.3999150628
517	0.399878557
518	0.3998480152
519	0.3998050097
520	0.3997652644
521	0.3997266536
522	0.3996949103
523	0.3996655485
524	0.3996423684
525	0.399608694
526	0.399576234
527	0.3995559868
528	0.3995248788
529	0.3994939449
530	0.3994664615
531	0.3994316271
532	0.3993974416
533	0.3993767999
534	0.3993339697
535	0.3992960688
536	0.3992637738
537	0.3992277098
538	0.3991880669
539	0.3991614403
540	0.3991160759
541	0.3990838802
542	0.3990521259
543	0.3990078868
544	0.3989819311
545	0.3989403887
546	0.3988968075
547	0.3988587418
548	0.3988360415
549	0.398796383
550	0.3987563167
551	0.3987253881
552	0.3986931637
553	0.3986636161
554	0.3986210696
555	0.3985906669
556	0.3985608031
557	0.398525628
558	0.3984835807
559	0.3984448331
